Job Title,Job Type,Company Name,Posted Date,Cities,States,Start Date,Duration,Numer of Openings,Late date to apply,Stipend_num
IT & E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-06 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2023-11-12 00:00:00,10000.0
WATER AND USED WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-06 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,6,2023-11-12 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-16 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2023-11-12 00:00:00,10000.0
CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-19 00:00:00,Thiruvananthapuram,Kerala,Immediately,7 Months,1,2023-11-12 00:00:00,10000.0
IT & E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,2023-12-15 00:00:00,Chandigarh,Punjab,Immediately,6 Months,2,2024-01-13 00:00:00,12000.0
CAPACITY BUILDING INTERN REQUIRED AT CHANDIGARH,Full Time,Punjab Municipal Infrastructure Development Company,2024-02-15 00:00:00,Chandigarh,Punjab,Immediately,6 Months,1,2024-02-18 00:00:00,12000.0
ENVIRONMENTAL ASSISTANT  INTERN,Full Time,Punjab Municipal Infrastructure Development Company,2024-02-26 00:00:00,Chandigarh,Punjab,Immediately,6 Months,1,2024-02-28 00:00:00,12000.0
MUNICIPAL FINANCE,Full Time,Kannur Municipal Corporation,2024-02-29 00:00:00,Kannur,Kerala,Immediately,6 Months,1,2024-03-09 00:00:00,10000.0
REJUVENATION & RENOVATION OF POND PROJECTSS UNDER AMRUT SCHEME,Full Time,Chas Municipal Corporation,2024-06-04 00:00:00,Bokaro,Jharkhand,Immediately,8 Weeks,2,2024-06-28 00:00:00,5000.0
FINANCE INTERN,Full Time,Thrissur Municipal Corporation,2024-06-18 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2024-07-12 00:00:00,10000.0
CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,2024-06-18 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2025-01-25 00:00:00,10000.0
"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,2024-06-25 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2024-07-30 00:00:00,10000.0
INTERNSHIP UNDER TULIP SCHEME IN AMRUT CELL,Full Time,Punjab Municipal Infrastructure Development Company,2024-06-25 00:00:00,Chandigarh,Punjab,Immediately,6 Months,1,2024-06-28 00:00:00,12000.0
WATER AND WASTE WATER,Full Time,Kozhikode Municipal Corporation,2024-07-01 00:00:00,Calicut,Kerala,Immediately,12 Months,1,2024-09-07 00:00:00,10000.0
URBAN PLANNING  (INTERN),Full Time,Kozhikode Municipal Corporation,2024-07-01 00:00:00,Calicut,Kerala,Immediately,12 Months,1,2024-09-07 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,Kozhikode Municipal Corporation,2024-07-01 00:00:00,Calicut,Kerala,Immediately,12 Months,1,2024-09-07 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,Guruvayur Municipality,2024-07-22 00:00:00,Guruvayur,Kerala,Immediately,6 Months,1,2024-08-03 00:00:00,10000.0
WATER AND WASTE WATER,Full Time,Guruvayur Municipality,2024-07-22 00:00:00,Guruvayur,Kerala,Immediately,6 Months,2,2024-08-03 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,2024-07-22 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2024-08-06 00:00:00,10000.0
FINANCE INTERN,Full Time,Thrissur Municipal Corporation,2024-08-05 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2024-08-12 00:00:00,10000.0
CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,2024-08-05 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2024-08-12 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,6,2024-09-30 00:00:00,10000.0
IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,2,2024-08-31 00:00:00,10000.0
CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2024-09-30 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2024-09-30 00:00:00,10000.0
CIVIL ENGINEER (INTERN),Full Time,MUNCIPAL COUNCIL SUNDERNAGAR,2024-10-03 00:00:00,Sundernagar,Himachal Pradesh,Immediately,12 Months,2,2024-10-13 00:00:00,10000.0
"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,2024-10-10 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2024-10-31 00:00:00,10000.0
URBAN PLANNER (INTERN),Full Time,Guruvayur Municipality,2024-11-29 00:00:00,Guruvayur,Kerala,Immediately,12 Months,1,2024-12-03 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,Thrissur Municipal Corporation,2024-12-13 00:00:00,Thrissur,Kerala,Immediately,6 Months,2,2024-12-27 00:00:00,10000.0
WATER AND WASTE WATER,Full Time,Kollam Municipal Corporation,2024-12-19 00:00:00,Kollam,Kerala,Immediately,12 Months,2,2025-02-15 00:00:00,10000.0
E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,2025-01-01 00:00:00,Chandigarh,Punjab,Immediately,6 Months,2,2025-02-18 00:00:00,12000.0
CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,2025-01-14 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2025-01-25 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,Alappuzha Municipality,2025-02-11 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2025-02-19 00:00:00,10000.0
"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,2025-03-15 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2025-03-21 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,2025-03-15 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2025-03-21 00:00:00,10000.0
WATER AND WASTE WATER,Full Time,Kannur Municipal Corporation,2025-05-14 00:00:00,Kannur,Kerala,Immediately,12 Months,1,2025-06-03 00:00:00,10000.0
URBAN PLANNING  (INTERN),Full Time,Kannur Municipal Corporation,2025-05-14 00:00:00,Kannur,Kerala,Immediately,12 Months,1,2025-06-03 00:00:00,10000.0
WATER AND WASTEWATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",2025-05-24 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,4,2025-07-14 00:00:00,10000.0
IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2025-05-24 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2025-06-16 00:00:00,10000.0
ODISHA URBAN ACADEMY,Full Time,Housing and Urban development Department Odisha,2025-06-24 00:00:00,Bhubaneswar,Odisha,Immediately,12 Months,1,2025-06-24 00:00:00,15000.0
WATER AND WASTE WATER,Full Time,Thrissur Municipal Corporation,2025-06-30 00:00:00,Thrissur,Kerala,Immediately,6 Months,2,2025-07-10 00:00:00,10000.0
FINANCE INTERN,Full Time,Thrissur Municipal Corporation,2025-06-30 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2025-07-10 00:00:00,10000.0
WATER AND WASTE WATER,Full Time,Guruvayur Municipality,2025-06-30 00:00:00,Guruvayur,Kerala,Immediately,6 Months,2,2025-07-12 00:00:00,10000.0
DAY-NULM WEBSITE DESIGN WITH INTERACTIVE DASHBOARD & MOBILE APPLICATION DEVELOPMENT,Full Time,DAY NULM,2023-03-24 00:00:00,New Delhi,Delhi,Immediately,2 Months,60,2023-07-17 00:00:00,5000.0
DAYNULM- MOBILE APPLICATION ANDROID DEVELOPER,Part Time,DAY NULM,2023-03-24 00:00:00,New Delhi,Delhi,Immediately,2 Months,50,2023-04-10 00:00:00,5000.0
DAY NULM ENTERPRENEURSHIP DEVELOPMENT,Full Time,DAY NULM,2023-03-24 00:00:00,New Delhi,Delhi,Immediately,2 Months,50,2023-08-02 00:00:00,5000.0
DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,DAY NULM,2023-03-24 00:00:00,New Delhi,Delhi,Immediately,2 Months,50,2023-07-19 00:00:00,5000.0
ANALYSIS OF BEST PRACTICES OF URBAN POVERTY ALLEVATION  AND ANLYSING THE FEASIBILITY OF THEIR IMPLEMENTATION,Full Time,DAY NULM,2023-03-24 00:00:00,New Delhi,Delhi,Immediately,2 Months,50,2023-04-10 00:00:00,5000.0
DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,Urban Development and Housing Department,2023-04-10 00:00:00,Nabinagar,Bihar,Immediately,2 Months,2,2023-04-24 00:00:00,5000.0
DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,NAGAR PANCHAYAT ETAPALLI,2023-05-10 00:00:00,Etapalli,Maharashtra,Immediately,6 Months,1,2023-06-10 00:00:00,10000.0
SUSTAINABLE AND HOLISTIC DEVELOPMENT OF CITY LIVELIHOOD CENTE,Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,2023-05-10 00:00:00,Goalpara,Assam,Immediately,1 Months,3,2024-08-15 00:00:00,5000.0
SOCIAL WORK INTERN,Full Time,Nagar Palika Parishad Bijapur,2023-05-10 00:00:00,Bijapur,Chhattisgarh,Immediately,8 Weeks,3,2024-09-15 00:00:00,5000.0
ENTREPRENEURSHIP DEVELOPMENT INTERN,Full Time,DAY NULM CMMU BONGAIGAON,2023-05-11 00:00:00,Bongaigaon,Assam,Immediately,8 Weeks,1,2023-05-31 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,2023-05-12 00:00:00,Jorhat,Assam,Immediately,6 Months,2,2024-02-09 00:00:00,5000.0
SOCIAL MEDIA EXPERT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,2023-05-12 00:00:00,Jorhat,Assam,Immediately,8 Weeks,1,2023-07-31 00:00:00,5000.0
SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,DAY NULM KOKRAJHAR ASSAM,2023-05-12 00:00:00,Kokrajhar,Assam,Immediately,3 Months,2,2023-05-25 00:00:00,5000.0
CITY LIVELIHOOD CENTRE OF DAY-NULM AND DESIGNING VENDING ZONE,Full Time,DAY NULM KOKRAJHAR ASSAM,2023-05-12 00:00:00,Kokrajhar,Assam,Immediately,3 Months,2,2023-05-25 00:00:00,5000.0
MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,DAY NULM KOKRAJHAR ASSAM,2023-05-12 00:00:00,Kokrajhar,Assam,Immediately,3 Months,2,2023-05-25 00:00:00,5000.0
SOCIAL DEVELOPMENT OFFICER,Full Time,NULM,2023-05-12 00:00:00,Golaghat,Assam,Immediately,3 Months,5,2023-05-25 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,DAY NULM TEOK ULB,2023-05-15 00:00:00,Jorhat,Assam,Immediately,2 Months,2,2023-07-31 00:00:00,5000.0
"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,DAY NULM GOSSAIGAON ASSAM,2023-05-15 00:00:00,Kokrajhar,Assam,Immediately,3 Months,1,2023-08-14 00:00:00,5000.0
SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE,Full Time,DAY NULM GOSSAIGAON ASSAM,2023-05-15 00:00:00,Kokrajhar,Assam,Immediately,3 Months,2,2023-05-25 00:00:00,5000.0
DAY NULM SOCIAL MEDIA HANDLE DEVELOPMENT INTERN,Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,2023-05-15 00:00:00,Goalpara,Assam,Immediately,4 Weeks,2,2024-08-15 00:00:00,5000.0
BRANDING AND MARKETING EXPERT,Full Time,DAY NULM TEOK ULB,2023-05-15 00:00:00,Jorhat,Assam,Immediately,2 Months,1,2023-06-15 00:00:00,5000.0
SOCIAL MEDIA EXPERT,Full Time,DAY NULM TEOK ULB,2023-05-15 00:00:00,Jorhat,Assam,Immediately,8 Weeks,1,2023-06-15 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",2023-05-15 00:00:00,Kamrup Metropolitan,Assam,Immediately,2 Months,2,2023-10-31 00:00:00,5000.0
MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION,Full Time,CMMU KAJALGAON DAY NULM,2023-05-15 00:00:00,Chirang,Assam,Immediately,02 Months,2,2023-11-30 00:00:00,5000.0
SOCIAL MOBILISER,Full Time,NULM,2023-05-15 00:00:00,Karimganj,Assam,Immediately,12 Weeks,2,2023-07-31 00:00:00,5000.0
MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,CMMU KAJALGAON DAY NULM,2023-05-15 00:00:00,Chirang,Assam,Immediately,2 Months,2,2023-11-30 00:00:00,5000.0
ENTERPRISE DEVELOPMENT OF URBAN POOR,Full Time,CMMU KAJALGAON DAY NULM,2023-05-16 00:00:00,Chirang,Assam,Immediately,2 Months,2,2023-11-30 00:00:00,5000.0
MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,Bijni ULB DAY NULM,2023-05-16 00:00:00,Bijni,Assam,Immediately,2 Months,1,2023-11-30 00:00:00,5000.0
FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG,Full Time,Bijni ULB DAY NULM,2023-05-16 00:00:00,Bijni,Assam,Immediately,2 Months,1,2023-11-30 00:00:00,5000.0
"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DAY NULM KOKRAJHAR ASSAM,2023-05-16 00:00:00,Kokrajhar,Assam,Immediately,3 Months,1,2023-09-13 00:00:00,5000.0
URBAN WOMEN EMPOWERMENT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM TINSUKIA,2023-05-16 00:00:00,Tinsukia,Assam,Immediately,8 Weeks,5,2023-08-31 00:00:00,5000.0
MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION AND ENTERPRISE DEVELOPMENT,Full Time,Bijni ULB DAY NULM,2023-05-16 00:00:00,Bijni,Assam,Immediately,2 Months,2,2023-11-30 00:00:00,5000.0
FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG AND FINANCIAL MANAGAEMENT OF SHGS AND ITS FEDERATION.,Full Time,DAY NULM KOKRAJHAR ASSAM,2023-05-16 00:00:00,Kokrajhar,Assam,Immediately,3 Months,1,2023-09-13 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,DAY NULM TITABAR ULB,2023-05-16 00:00:00,Jorhat,Assam,Immediately,2 Months,2,2023-09-15 00:00:00,5000.0
BRANDING AND MARKETING EXPERT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,2023-05-16 00:00:00,Jorhat,Assam,Immediately,2 Months,1,2023-07-31 00:00:00,5000.0
SOCIAL MEDIA INTERN,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",2023-05-16 00:00:00,Kamrup Metropolitan,Assam,Immediately,2 Months,1,2023-06-15 00:00:00,5000.0
SOCIAL WORK INTERN,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",2023-05-16 00:00:00,Kamrup Metropolitan,Assam,Immediately,2 Months,2,2023-06-15 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,DAY NULM MARIANI,2023-05-16 00:00:00,Mariani,Assam,Immediately,2 Months,2,2023-11-20 00:00:00,5000.0
SKILL AND CAPACITY DEVELOPMENT INTERNSHIP,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",2023-05-16 00:00:00,Kamrup Metropolitan,Assam,Immediately,2 Months,3,2023-06-15 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,Haflong Municipal Board,2023-05-16 00:00:00,Halflong,Assam,Immediately,2 Months,5,2023-08-20 00:00:00,5000.0
URBAN WOMEN EMPOWERMENT,Full Time,City Mission Management Unit Diphu DAY NULM,2023-05-16 00:00:00,Karbi Anglong,Assam,Immediately,8 Weeks,5,2023-08-31 00:00:00,5000.0
NULM INTERN,Full Time,Silpathar,2023-05-16 00:00:00,Dhemaji,Assam,Immediately,8 Weeks,5,2023-06-27 00:00:00,5000.0
"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DAY NULM GOSSAIGAON ASSAM,2023-05-16 00:00:00,Kokrajhar,Assam,Immediately,3 Months,2,2023-05-27 00:00:00,5000.0
INTERN FOR SELF EMPLOYMENT PROGRAM,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",2023-05-16 00:00:00,Kamrup Metropolitan,Assam,Immediately,2 Months,2,2023-05-23 00:00:00,5000.0
E-COMMERCE PLATFORM DEVELOPER INTERN,Full Time,DAY NULM CMMU BONGAIGAON,2023-05-17 00:00:00,Bongaigaon,Assam,Immediately,8 Weeks,1,2023-06-08 00:00:00,5000.0
SHG- CAPACITY BUILDING INTERN,Full Time,DAY NULM CMMU BONGAIGAON,2023-05-17 00:00:00,Bongaigaon,Assam,Immediately,8 Weeks,2,2023-06-14 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,DAY NULM CMMU BONGAIGAON,2023-05-17 00:00:00,Bongaigaon,Assam,Immediately,8 Weeks,1,2023-06-14 00:00:00,5000.0
"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DHUBRI MUNICIPAL BOARD DHUBRI ASSAM,2023-05-17 00:00:00,Dhubri,Assam,Immediately,6 Months,5,2023-08-30 00:00:00,5000.0
DAY-NULM,Full Time,ASULMS NAGAON,2023-05-17 00:00:00,Nagaon,Assam,Immediately,3 Months,2,2023-05-27 00:00:00,5000.0
FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG,Full Time,ASULMS NAGAON,2023-05-17 00:00:00,Nagaon,Assam,Immediately,3 Months,2,2023-05-27 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,DAY NULm City Mission Management Unit Abhayapuri,2023-05-18 00:00:00,Abhayapuri,Assam,Immediately,8 Weeks,2,2023-06-20 00:00:00,5000.0
SHG- CAPACITY BUILDING INTERN,Part Time,ASULMS NAGAON,2023-05-18 00:00:00,Nagaon,Assam,Immediately,3 Months,1,2023-05-27 00:00:00,5000.0
SHG- CAPACITY BUILDING INTERN,Full Time,HOJAI MUNICIPAL BOARD (NULM),2023-05-18 00:00:00,Hojai,Assam,Immediately,3 Months,2,2023-07-31 00:00:00,5000.0
SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,HOJAI MUNICIPAL BOARD (NULM),2023-05-18 00:00:00,Hojai,Assam,Immediately,3 Months,1,2023-07-31 00:00:00,5000.0
"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,City Project Management Unit NULM Sivasagar,2023-05-18 00:00:00,Sivasagar,Assam,Immediately,8 Weeks,2,2023-08-07 00:00:00,5000.0
"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,City Project Management Unit NULM Sivasagar,2023-05-18 00:00:00,Sivasagar,Assam,Immediately,8 Weeks,1,2023-07-31 00:00:00,5000.0
"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,City Project Management Unit NULM Sivasagar,2023-05-18 00:00:00,Sivasagar,Assam,Immediately,8 Weeks,2,2023-08-07 00:00:00,5000.0
URBAN WOMEN EMPOWERMENT,Full Time,City Mission Management Unit Bokajan DAY NULM,2023-05-19 00:00:00,Bokajan,Assam,Immediately,8 Weeks,5,2023-06-15 00:00:00,5000.0
"STUDY OF THE URBAN LIVELIHOOD PATTERN, SCOPE OF LIVELIHOOD & ENTREPRENEURSHIP DEVELOPMENT OF URBAN POOR OF GOALPARA TOWN",Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,2023-05-19 00:00:00,Goalpara,Assam,Immediately,1 Month,4,2024-08-15 00:00:00,5000.0
"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS, ALFS, CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU NULM Nazira MB,2023-05-19 00:00:00,Sivasagar,Assam,Immediately,3 Months,1,2023-08-07 00:00:00,5000.0
"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",2023-05-19 00:00:00,Kamrup Metropolitan,Assam,Immediately,3 Months,4,2023-06-30 00:00:00,5000.0
"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU Simaluguri MB,2023-05-19 00:00:00,Sivasagar,Assam,Immediately,3 Months,1,2023-08-31 00:00:00,5000.0
SUPPORT TO IMPROVEMENT OF URBAN LIVELIHOODS,Full Time,NULM,2023-05-19 00:00:00,Cachar,Assam,Immediately,3 Months,15,2024-11-30 00:00:00,5000.0
"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,CMMU NULM Nazira MB,2023-05-19 00:00:00,Sivasagar,Assam,Immediately,3 Months,1,2023-08-18 00:00:00,5000.0
"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,CMMU Simaluguri MB,2023-05-19 00:00:00,Sivasagar,Assam,Immediately,3 Months,1,2023-06-23 00:00:00,5000.0
"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,CMMU NULM Nazira MB,2023-05-19 00:00:00,Sivasagar,Assam,Immediately,3 Months,1,2023-07-31 00:00:00,5000.0
"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,NULM,2023-05-19 00:00:00,Karimganj,Assam,Immediately,3 Months,1,2023-07-31 00:00:00,5000.0
ULB INTERSHIP,Full Time,ASULMS DAY NULM SONAI MUNICIPAL BOARD,2023-05-19 00:00:00,Cachar,Assam,Immediately,3 Months,5,2023-06-15 00:00:00,5000.0
ULB INTERSHIP,Full Time,ASSAM STATE URBAN LIVELIHOOD MISSION SOCIETY  DAY NULM,2023-05-19 00:00:00,Cachar,Assam,Immediately,3 Months,5,2023-06-16 00:00:00,5000.0
"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,NULM,2023-05-19 00:00:00,Karimganj,Assam,Immediately,3 Months,1,2023-07-31 00:00:00,5000.0
MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,NULM,2023-05-19 00:00:00,Karimganj,Assam,Immediately,3 Months,1,2023-07-31 00:00:00,5000.0
"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU NULM SONARI MB,2023-05-20 00:00:00,Charaideo,Assam,Immediately,3 Months,2,2023-06-23 00:00:00,5000.0
"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,CMMU Simaluguri MB,2023-05-20 00:00:00,Sivasagar,Assam,Immediately,3 Months,1,2023-06-23 00:00:00,5000.0
SOCIAL MEDIA EXPERT,Full Time,City Mission Management Unit NULM Hailakandi,2023-05-20 00:00:00,Hailakandi,Assam,Immediately,6 Months,2,2023-07-31 00:00:00,5000.0
COMMUNITY RESOURCE PERSON,Full Time,City Mission Management Unit NULM Hailakandi,2023-05-20 00:00:00,Hailakandi,Assam,Immediately,3 Months,3,2023-08-31 00:00:00,5000.0
"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU NULM DEMOW MB,2023-05-22 00:00:00,Sibsagar,Assam,Immediately,3 Months,2,2023-06-24 00:00:00,5000.0
"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, MASS COMMUNICATION AND SOCIAL MEDIA,",Full Time,CMMU NULM DEMOW MB,2023-05-22 00:00:00,Sibsagar,Assam,Immediately,3 Months,1,2023-06-24 00:00:00,5000.0
NULM INTERN,Full Time,Nalbari Municipal Board,2023-05-22 00:00:00,Nalbari,Assam,Immediately,12 Weeks,5,2023-05-31 00:00:00,5000.0
INTERN FOR LIVELIHOOD AND SOCIAL ENTREPRENEURSHIP,Full Time,Mangaldai Municipal Board,2023-05-22 00:00:00,Mangaldoi,Assam,Immediately,2 Months,2,2024-06-07 00:00:00,5000.0
INTERN FOR COMMUNICATION AND PUBLIC RELATION,Full Time,Mangaldai Municipal Board,2023-05-22 00:00:00,Mangaldoi,Assam,Immediately,6 MONTHS,1,2024-10-04 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,Umrongso Municipal Board,2023-05-22 00:00:00,Dima Hasao,Assam,Immediately,2 Months,2,2023-06-22 00:00:00,5000.0
SOCIAL MOBILIZER,Full Time,MAHUR MUNICIPAL BOARD,2023-05-23 00:00:00,Dima Hasao,Assam,Immediately,2 Months,2,2023-06-23 00:00:00,5000.0
INTERN FOR SWACH BHARAT MISSION 2.0,Full Time,Mangaldai Municipal Board,2023-05-23 00:00:00,Mangaldoi,Assam,Immediately,2 Months,2,2024-05-24 00:00:00,5000.0
